 BeamLabel,Angle,Ant1,Ant2,Ant3,Ant4,Ant5,Ant6,Ant7,Ant8,Ant9,Ant10,Ant11,Ant12,Ant13,Ant14,Ant15,Ant16,Ant17,Ant18,Ant19,Ant20,Ant21,Ant22,Ant23,Ant24,Ant25,Ant26,Ant27,Ant28,Ant29,Ant30,Ant31,Ant32,Ant33,Ant34,Ant35,Ant36
dft0,-45,0,145.1,-69.803,75.295,-139.61,5.4916,150.59,-64.312,80.786,-134.12,10.983,156.08,-58.82,86.278,-128.62,16.475,161.57,-53.329,91.77,-123.13,21.966,167.06,-47.837,97.261,-117.64,27.458,172.56,-42.346,102.75,-112.15,32.949,178.05,-36.854,108.24,-106.66,38.441
dft1,-43.594,0,141.49,-77.013,64.481,-154.03,-12.531,128.96,-89.544,51.95,-166.56,-25.063,116.43,-102.08,39.418,-179.09,-37.594,103.9,-114.61,26.887,168.38,-50.126,91.368,-127.14,14.356,155.85,-62.657,78.837,-139.67,1.8242,143.32,-75.188,66.305,-152.2,-10.707,130.79,-87.72
dft2,-42.188,0,137.8,-84.392,53.412,-168.78,-30.981,106.82,-115.37,22.431,160.24,-61.961,75.843,-146.35,-8.5493,129.25,-92.942,44.862,-177.33,-39.53,98.274,-123.92,13.882,151.69,-70.51,67.294,-154.9,-17.099,120.71,-101.49,36.313,174.12,-48.079,89.725,-132.47,5.3325,143.14
dft3,-40.781,0,134.03,-91.938,42.093,176.12,-49.845,84.186,-141.78,-7.7515,126.28,-99.689,34.342,168.37,-57.596,76.435,-149.53,-15.503,118.53,-107.44,26.59,160.62,-65.348,68.683,-157.29,-23.254,110.78,-115.19,18.839,152.87,-73.099,60.932,-165.04,-31.006,103.03,-122.94,11.087
dft4,-39.375,0,130.18,-99.645,30.533,160.71,-69.112,61.065,-168.76,-38.58,91.598,-138.22,-8.0475,122.13,-107.69,22.485,152.66,-77.16,53.018,-176.8,-46.627,83.55,-146.27,-16.095,114.08,-115.74,14.438,144.62,-85.207,44.97,175.15,-54.675,75.503,-154.32,-24.142,106.04,-123.79
dft5,-37.969,0,126.25,-107.51,18.737,144.98,-88.772,37.473,163.72,-70.036,56.21,-177.54,-51.299,74.946,-158.81,-32.563,93.683,-140.07,-13.826,112.42,-121.34,4.9104,131.16,-102.6,23.647,149.89,-83.862,42.384,168.63,-65.125,61.12,-172.63,-46.389,79.857,-153.9,-27.652,98.593
dft6,-36.563,0,122.24,-115.53,6.7125,128.95,-108.81,13.425,135.66,-102.1,20.137,142.37,-95.388,26.85,149.09,-88.675,33.562,155.8,-81.963,40.275,162.51,-75.25,46.987,169.22,-68.538,53.7,175.94,-61.825,60.412,-177.35,-55.113,67.125,-170.64,-48.4,73.837,-163.93,-41.688
dft7,-35.156,0,118.16,-123.69,-5.5325,112.62,-129.22,-11.065,107.09,-134.75,-16.597,101.56,-140.29,-22.13,96.026,-145.82,-27.662,90.493,-151.35,-33.195,84.961,-156.88,-38.727,79.428,-162.42,-44.26,73.896,-167.95,-49.792,68.364,-173.48,-55.325,62.831,-179.01,-60.857,57.299,175.45
dft8,-33.75,0,114,-131.99,-17.991,96.012,-149.98,-35.982,78.021,-167.98,-53.973,60.03,174.03,-71.964,42.039,156.04,-89.955,24.048,138.05,-107.95,6.0572,120.06,-125.94,-11.934,102.07,-143.93,-29.925,84.078,-161.92,-47.916,66.087,-179.91,-65.907,48.096,162.1,-83.898,30.105
dft9,-32.344,0,109.78,-140.44,-30.655,79.126,-171.09,-61.311,48.471,158.25,-91.966,17.815,127.6,-122.62,-12.84,96.941,-153.28,-43.496,66.286,176.07,-74.151,35.63,145.41,-104.81,4.9748,114.76,-135.46,-25.681,84.101,-166.12,-56.336,53.445,163.23,-86.992,22.79,132.57,-117.65
